X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
11.2908900,43.8461900,1,50,0,0
11.3140600,43.6372200,1,50,0,0
11.3471100,43.7291900,1,50,0,0
11.3606400,43.6707800,1,50,0,0
11.3748900,43.7250800,1,130,0,0
11.3965600,43.7153300,1,40,0,0
11.4027800,43.7001700,1,130,0,0
11.4456700,43.6787500,1,50,0,0
11.4652200,43.6207200,1,50,0,0
11.3160000,43.7530300,1,50,0,0
11.3338900,43.7618600,1,50,0,0
11.3624200,43.7737200,1,50,0,0
11.3897500,43.7980300,1,50,0,0
11.3511100,43.8852800,1,50,0,0
11.4223300,43.7726400,1,50,0,0
11.4252200,43.7763300,1,50,0,0
11.4441700,43.7440800,1,50,0,0
11.5001700,43.5565300,1,50,0,0
11.5195800,43.5813900,1,50,0,0
11.5566700,43.5351900,1,50,0,0
11.5591700,43.5275000,1,50,0,0
11.5763600,43.5197200,1,50,0,0
11.5937200,43.5128900,1,50,0,0
11.6112200,43.5678100,1,50,0,0
11.6217200,43.5062800,1,50,0,0
11.7426900,43.4700300,1,130,0,0
11.7626900,43.3325000,1,130,0,0
11.5046700,43.7847200,1,50,0,0
11.5108300,43.7870800,1,50,0,0
11.5407200,43.7953100,1,50,0,0
11.8109200,43.7273300,1,50,0,0
11.8148100,43.6911700,1,50,0,0
11.3833900,43.5994700,1,50,0,0
11.8166100,43.6987500,1,50,0,0
11.1886900,43.8946700,1,130,0,0
11.2027200,43.9204700,1,50,0,0
11.2142500,43.9589200,1,50,0,0
11.2383300,43.9890800,1,60,0,0
11.2584200,43.9875300,1,60,0,0
11.2084200,44.0687800,1,100,0,0
11.2083300,44.0711100,2,100,0,0
11.2091700,44.1472200,1,100,0,0
11.2072200,44.1419400,2,100,0,0
11.2237200,44.1291100,1,100,0,0
11.2245300,44.1277500,2,100,0,0
11.2610300,44.0511100,1,50,0,0
11.3348900,44.0164200,1,50,0,0
11.3460600,43.9620000,1,50,0,0
11.3567500,43.8963300,1,50,0,0
11.3661100,43.9589200,1,50,0,0
11.3700800,44.0256700,1,50,0,0
11.3993100,43.9500300,1,50,0,0
11.4163100,43.9330300,1,50,0,0
11.4255600,43.9433300,1,50,0,0
11.4480600,43.9355600,1,50,0,0
11.4559700,43.9341700,1,50,0,0
11.3341400,44.1648300,1,50,0,0
11.2042800,44.2044200,1,100,0,0
11.2076100,44.1928100,2,100,0,0
11.4875000,44.4715300,1,70,0,0
11.5504700,44.1151900,1,50,0,0
11.4960800,44.4696700,1,70,0,0
12.0369400,43.5747200,1,70,0,0
12.0590000,43.5427800,1,50,0,0
12.0826400,43.5516900,1,50,0,0
12.1816400,43.7096900,1,50,0,0
12.1958100,43.7173100,1,50,0,0
12.2040800,43.7771100,1,50,0,0
11.4744400,43.9342500,1,50,0,0
10.0238300,44.8468100,1,90,0,0
10.3677200,45.1981700,2,,0,0
10.3724200,45.1503600,1,50,0,0
10.5865300,44.9318100,1,70,0,0
10.5999700,44.9310600,1,70,0,0
10.6435800,45.0618300,1,70,0,0
10.8387500,45.1665800,2,,0,0
10.8534400,44.6796400,1,50,0,0
11.0233900,44.7877800,2,,0,0
10.6035000,45.1340300,1,70,0,0
10.6050000,45.0856400,1,50,0,0
10.6706700,45.1786900,1,70,0,0
10.7255600,45.1353100,1,70,0,0
10.8500800,45.3991100,1,70,0,0
10.9778900,45.4362500,1,50,0,0
10.9883300,45.4304700,2,50,0,0
10.9899700,45.4301400,1,50,0,0
10.9787500,45.4354200,2,50,0,0
9.7706900,45.6802500,1,90,0,0
9.7708600,45.6801700,1,90,0,0
11.1873600,44.5123100,1,130,0,0
11.2155600,44.6019400,1,50,0,0
11.4827800,44.5019400,1,70,0,0
11.4356700,44.9688600,4,70,0,0
11.4425000,44.9593600,4,70,0,0
11.4622800,44.8677800,1,70,0,0
11.5819700,45.0612800,1,70,0,0
11.6323300,45.0771700,1,70,0,0
11.6445000,45.2290300,2,,0,0
12.2435600,45.6699400,1,50,0,0
12.2842800,45.4619200,1,70,0,0
12.3069700,45.4490300,1,70,0,0
11.4522200,45.5123300,2,,0,0
11.4278100,45.8130800,1,90,0,0
11.4303900,45.7950300,1,90,0,0
11.4331700,45.7950000,1,90,0,0
11.4420300,45.7840000,1,90,0,0
12.6390600,42.5585600,2,,0,0
11.7757200,44.8813600,1,50,0,0
12.2731900,45.7130600,1,50,0,0
12.3019400,45.6816900,1,130,0,0
9.1248600,39.2181900,2,,0,0
15.2370800,38.2120300,1,50,0,0
15.2294400,37.8088900,1,50,0,0
15.2580000,37.8202500,1,50,0,0
15.3050800,37.8803300,3,50,0,0
12.6120300,41.8479400,1,100,0,0
12.7604200,41.9483100,1,50,0,0
12.8210600,41.9586100,1,50,0,0
13.3683100,41.3004400,1,80,0,0
13.3791700,41.2995300,1,50,0,0
13.3895300,41.3043600,1,70,0,0
13.4114700,41.2791100,1,70,0,0
13.4492200,41.2530300,1,60,0,0
14.3186100,40.8962800,1,100,0,0
14.3188600,40.8805300,1,100,0,0
14.9766100,40.4498900,2,,0,0
14.3205000,40.9093100,1,100,0,0
14.3255300,40.9408300,1,100,0,0
13.5199400,43.5928900,1,70,0,0
16.5090000,40.2150600,1,80,0,0
11.0234200,44.7873300,2,,0,0
8.8593600,44.7205800,3,50,0,0
11.2306900,43.7473600,1,50,0,0
9.1338100,45.0492500,3,50,0,0
15.6554400,38.1176900,2,,0,0
9.1052200,45.8642500,2,,0,0
11.1394400,44.7881900,2,,0,0
11.2216700,43.8190000,1,50,0,0
8.5375000,44.7830800,1,70,0,0
10.6785300,43.8181100,1,130,0,0
11.2343900,43.6918100,1,50,0,0
9.1028600,45.4293900,2,,0,0
10.5826400,45.3184200,2,,0,0
10.6717800,45.2544700,2,,0,0
10.5294400,43.5913900,1,50,0,0
9.5462200,45.1948600,1,50,0,0
11.2569400,43.7568300,1,50,0,0
11.2158100,43.8050300,1,50,0,0
11.1913900,43.6551100,1,50,0,0
11.2594400,43.7834700,1,50,0,0
11.2175000,43.7326700,1,50,0,0
11.2863900,43.7740300,1,50,0,0
8.9273600,45.5884200,2,,0,0
11.2697200,43.7756700,1,50,0,0
11.2783100,43.7625600,1,30,0,0
9.1033600,45.3294400,2,,0,0
11.3002200,43.7740000,1,50,0,0
11.2016900,43.7825000,1,50,0,0
8.8030300,44.8925000,3,70,0,0
11.2227800,43.7972500,2,,0,0
14.1505600,42.4035600,4,130,0,0
14.2683600,42.4073600,4,130,0,0
14.3653100,42.3362200,4,130,0,0
14.4348900,42.2785600,4,130,0,0
14.4699700,42.2420600,4,130,0,0
14.6213900,42.1702800,4,130,0,0
14.7570600,42.0546700,4,130,0,0
14.9366400,42.0122800,4,130,0,0
15.2828900,41.8836100,4,130,0,0
15.4089700,41.7141400,4,130,0,0
15.5520800,41.5173600,4,130,0,0
15.6415600,41.4463600,4,130,0,0
15.8022500,41.3589200,4,130,0,0
15.9895000,41.2652200,4,130,0,0
11.4225600,44.4983600,2,,0,0
12.2899700,45.7296900,1,60,0,0
11.4411100,43.7710800,1,40,0,0
13.4536100,41.2495000,1,60,0,0
9.1128900,45.4355000,2,,0,0
9.1082800,45.4332800,2,,0,0
11.2091900,43.7078900,1,50,0,0
11.1005800,43.7816700,1,50,0,0
11.0861100,43.7781900,1,50,0,0
10.9932200,43.8705800,2,,0,0
11.1251900,43.9473300,1,50,0,0
11.0960300,43.7716700,2,,0,0
11.4358600,44.1225300,1,50,0,0
11.3825000,44.1180600,1,50,0,0
11.1216100,43.9120800,1,50,0,0
11.7728900,44.8801400,1,50,0,0
8.6778100,45.7893600,1,90,0,0
10.6882200,43.8792500,2,,0,0
12.1010800,41.9426900,1,70,0,0
10.6888100,43.8970300,2,,0,0
8.9150000,45.6033300,2,,0,0
11.1842200,44.6201900,1,70,0,0
11.2893100,44.6121900,1,90,0,0
9.2863300,45.8135800,2,,0,0
13.7229200,41.2858300,1,90,0,0
13.7212500,41.2845800,1,90,0,0
8.4864400,45.0744400,1,70,0,0
9.0786400,45.4288300,2,,0,0
11.2454400,44.7149700,1,60,0,0
8.7378900,44.4357200,1,80,0,0
9.6595300,44.2747200,1,70,0,0
9.6611400,44.2771900,1,70,0,0
10.5351400,42.9666400,1,50,0,0
9.9171100,44.1586700,1,50,0,0
9.8835300,44.3911700,1,50,0,0
10.6928100,43.6590600,1,90,0,0
11.0863600,43.7242500,1,90,0,0
12.0361700,42.6280300,1,70,0,0
12.5396400,42.5908300,1,50,0,0
11.2086100,43.5768600,1,60,0,0
11.1508300,43.6768100,1,50,0,0
11.4908100,43.6003900,1,50,0,0
11.7127800,43.5059400,1,50,0,0
11.5993300,44.0650800,1,50,0,0
12.4335300,43.8456700,1,50,0,0
10.2320000,45.5366900,2,,0,0
11.8279700,45.6503600,2,,0,0
12.3940000,45.7289700,1,50,0,0
14.0407500,41.3595600,1,50,0,0
11.1058900,43.7696900,2,,0,0
11.0963100,43.7713600,2,,0,0
8.8066400,44.7625000,1,90,0,0
10.6882800,43.8794400,2,,0,0
10.9929400,43.8700300,2,,0,0
11.0905300,43.8733100,2,,0,0
11.0947800,43.8740600,2,,0,0
11.0982800,43.8703600,2,,0,0
9.2276900,44.3463100,3,50,0,0
10.0126100,44.0773900,2,,0,0
10.6888300,43.8973900,2,,0,0
10.7768900,43.8913600,2,,0,0
11.0658900,43.8832200,1,70,0,0
10.3545000,45.2305800,2,,0,0
9.9355000,44.1359700,1,50,0,0
12.3670300,43.0927800,2,,0,0
7.8922200,45.2878300,3,50,0,0
8.0973600,45.2306400,2,,0,0
8.5430800,45.4540300,2,,0,0
8.7488600,45.3100800,2,,0,0
9.1467500,45.1839700,2,,0,0
9.1033600,45.3288100,2,,0,0
9.2043100,45.0391900,2,,0,0
12.3789400,43.1086900,2,,0,0
12.3841700,43.1095800,2,,0,0
9.0338900,45.5363900,2,,0,0
10.3547200,45.2299200,2,,0,0
10.3666700,45.2006900,2,,0,0
12.3840300,43.0969400,2,,0,0
10.6738900,45.2543600,2,,0,0
8.8502200,45.5106700,2,,0,0
8.8570000,45.5205300,2,,0,0
8.8495800,45.5247500,2,,0,0
8.9279700,45.5889700,2,,0,0
9.0333300,45.5362500,2,,0,0
8.9152800,45.6030600,2,,0,0
9.1447200,45.4855800,1,70,0,0
8.7450000,45.3055600,2,,0,0
9.2983100,45.5486100,2,,0,0
9.2981700,45.5491700,2,,0,0
10.1190300,45.5330300,2,,0,0
10.1776700,45.5465000,2,,0,0
10.2112500,45.5394400,2,,0,0
10.2133300,45.5345000,2,,0,0
10.2151100,45.5153600,3,50,0,0
10.2378600,45.5675300,2,,0,0
9.1252500,39.2254200,2,,0,0
9.1321700,39.2288600,2,,0,0
13.7407800,41.2487800,3,50,0,0
7.7574200,45.1408300,2,,0,0
12.6438100,42.5527200,2,,0,0
16.8788100,40.4418100,2,,0,0
10.3418100,43.5936900,1,90,0,0
10.4225000,43.6921400,1,90,0,0
10.5108300,43.6204400,1,90,0,0
10.4934200,44.9957200,3,50,0,0
11.2774400,43.7668600,2,,0,0
11.2935000,43.8174200,2,,0,0
10.5441700,43.6512800,1,90,0,0
10.7593300,43.6831700,1,90,0,0
10.8242500,43.7613600,1,70,0,0
11.4527500,45.5126100,2,,0,0
11.6907800,45.4588100,2,,0,0
9.4436100,45.5439400,2,,0,0
9.4292200,45.6959400,2,,0,0
11.8273600,45.6502500,2,,0,0
10.8620300,43.7042200,1,90,0,0
10.4539700,45.6015800,2,,0,0
12.3671900,43.0924200,2,,0,0
12.3917500,43.0958600,2,,0,0
12.3879700,43.0978900,2,,0,0
12.3665600,43.1072200,2,,0,0
12.3784700,43.1082500,2,,0,0
12.2298300,45.5583900,2,,0,0
12.2513900,45.7586100,2,,0,0
12.6561100,42.5648600,2,,0,0
17.5659400,40.3056900,2,,0,0
18.3053100,39.9650300,2,,0,0
18.1447200,40.3847500,2,,0,0
11.2501700,44.7189200,1,60,0,0
11.1678600,44.6463900,1,50,0,0
9.1336900,45.0486700,3,50,0,0
10.9667800,43.7107500,1,90,0,0
12.9297200,43.9038900,1,50,0,0
11.3108100,44.6635600,1,70,0,0
12.8774700,43.9106400,1,50,0,0
11.1217800,43.7483100,1,90,0,0
9.1180000,44.9788900,3,50,0,0
13.5098300,43.5431100,1,70,0,0
11.3699700,44.5993900,1,50,0,0
10.6822800,44.4797800,1,70,0,0
9.2985800,45.5488900,2,,0,0
9.2980300,45.5488300,2,,0,0
9.1519200,45.4899200,2,,0,0
9.1431400,45.4790300,3,50,0,0
9.1977500,45.4621900,2,,0,0
11.4429200,44.7381900,2,,0,0
10.6844200,44.4811100,1,70,0,0
11.2183300,43.4187500,1,70,0,0
11.5921400,44.4018100,2,,0,0
8.3330600,44.3368300,1,50,0,0
9.1860600,45.5537200,2,,0,0
9.8595800,44.1937200,1,50,0,0
11.2041100,43.5621400,1,50,0,0
10.0570000,44.2006900,1,50,0,0
10.8198600,43.7475300,1,70,0,0
10.8452800,43.9079200,1,70,0,0
11.8356400,45.0758100,1,70,0,0
13.3602800,41.3014700,1,80,0,0
11.1888300,43.7102800,1,50,0,0
13.5171900,43.5776900,1,70,0,0
11.2167500,44.6005600,1,50,0,0
11.4970600,45.4713300,1,50,0,0
14.3272800,40.9647200,1,100,0,0
11.5457200,45.5172500,1,70,0,0
9.7647800,46.1504400,1,50,0,0
11.4811900,44.4430300,2,,0,0
12.8591900,43.9198600,1,50,0,0
7.7563300,45.1306400,2,,0,0
8.6692500,45.3496900,2,,0,0
